sample_id,condition,condition_numeric,pathway_beta_cell_stress,pathway_fibrosis_ecm,pathway_inflammation_immune,pathway_insulin_resistance,pathway_oxidative_mitochondrial,ABCC8,ACTA2,ADIPOQ,AKT1,AKT2,CASP1,CAT,CCL2,CCL5,CD14,CD68,CHGA,CHGB,COL1A1,COL3A1,COL4A1,COX5A,CRP,CTGF,CXCL8,ERO1B,FN1,FOXO1,G6PC,GCG,GCK,GPX1,GPX4,GRB2,GSK3B,HMOX1,IAPP,IFNG,IKBKB,IL10,IL18,IL1B,IL6,INS,INSR,IRS1,IRS2,ITGAX,JAK2,KCNJ11,KEAP1,LEP,LEPR,LOX,MAFA,MAPK1,MAPK3,MMP2,MMP9,NDUFS1,NEUROD1,NFE2L2,NFKB1,NKX6-1,NLRP3,NQO1,PAX6,PCK1,PCSK1,PCSK2,PDX1,PIK3CA,PIK3R1,PPARG,PPARGC1A,PRDX1,PRDX3,PRKAA1,PRKAA2,PTPN1,RELA,SAA1,SDHA,SERPINE1,SIRT1,SIRT3,SLC2A2,SLC2A4,SLC30A8,SMAD2,SMAD3,SMAD4,SOCS3,SOD1,SOD2,SOS1,SPARC,SREBF1,STAT3,TCF7L2,TGFB1,TGFBR1,TGFBR2,THBS1,TIMP1,TIMP2,TLR2,TLR4,TNF,TXN,TXNRD1,UCN3,UCP2,UQCRC1,VIM
GSM532819,control,0,0.06926362948092935,-0.1887029136684272,0.29585210425516356,-0.006482571479395554,-0.5300886580451577,-12.1,229.1,28.4,2345.5,57.0,3038.9,223.4,36.6,13351.8,16509.4,1525.9,-4.6,-2.0,0.5,3.1,9.6,1642.5,-9.4,34.4,1080.4,10.9,5.8,446.3,147.5,1.7,-5.8,9845.0,3146.7,815.6,437.0,166.7,4.3,46.2,28.2,3231.9,14238.8,1281.0,9.6,219.1,223.4,290.3,247.2,2623.5,168.8,3.9,192.5,214.8,41.0,-10.4,180.7,969.4,1213.7,21.3,1052.0,24.7,10.4,595.9,3449.4,0.5,723.7,20.4,0.5,7.7,2.7,-4.9,10.3,51.6,700.8,1.6,-12.8,1468.9,539.6,328.0,-3.6,601.1,90.9,3.7,404.2,4.9,150.5,8.2,4.3,91.4,3.0,30.6,340.0,356.6,10.2,2081.8,6379.0,39.8,19.0,79.1,2365.9,13.8,6.4,26.1,2636.0,27.1,4727.9,1436.0,92.2,248.5,136.7,1222.3,347.3,8.5,1874.7,379.9,5327.4
GSM532820,control,0,0.2912818108909442,-0.5837296569446991,0.11985815436615514,0.04867957778415395,0.031106646773165485,-7.2,614.4,40.1,2217.5,63.9,3002.0,252.5,34.9,47354.6,14238.8,1678.7,14.4,-3.8,-4.3,-6.0,13.6,2096.1,-14.0,26.0,638.1,-3.9,-11.5,375.0,98.4,-3.2,7.3,9218.4,3552.9,503.4,462.7,317.4,6.5,144.0,34.6,3441.9,15226.1,673.9,8.7,278.6,315.7,317.8,119.2,2396.9,125.4,-0.4,241.4,272.6,68.9,-3.7,237.9,1062.1,1131.5,16.9,1237.3,21.6,-0.1,302.7,2342.7,0.3,332.5,65.8,-7.1,-3.8,1.0,2.2,11.9,24.8,746.5,-1.7,-5.6,1977.6,243.5,356.6,2.8,571.2,70.9,-3.4,595.3,7.2,114.0,0.9,1.3,103.8,7.1,40.4,352.0,216.3,1.1,2038.9,5154.3,31.5,14.5,106.5,1860.9,46.6,9.7,18.7,1232.9,44.0,4327.1,867.5,70.7,155.2,126.8,963.9,320.9,16.1,3619.0,463.0,2473.9
GSM532821,control,0,0.014221604844358115,-0.00016664915168989892,0.02124588382752072,0.13440444615376707,-0.23057281535067842,-9.7,415.8,27.5,2151.9,74.3,2326.8,363.8,2.7,10171.3,18802.0,1359.0,-2.2,24.5,7.4,-3.4,43.1,1895.4,-9.8,33.7,4225.0,-4.3,25.5,569.4,164.7,9.5,37.4,13087.3,4827.8,452.1,689.3,193.6,0.4,1.6,5.5,2999.7,14022.2,1242.5,12.5,217.0,376.7,301.0,340.1,3885.3,169.7,-12.4,102.1,219.9,49.7,-9.8,87.5,1068.2,1837.5,57.3,770.6,13.3,4.6,618.6,3025.3,-5.5,729.0,13.2,57.7,-12.9,-15.6,7.4,-14.4,9.9,353.4,21.7,0.5,1404.8,274.1,395.1,-2.9,683.7,35.8,74.9,333.1,-4.5,186.5,93.4,-16.3,69.8,6.8,68.4,324.3,305.1,5.8,2037.3,7841.4,12.9,33.9,93.7,1493.5,26.6,-4.5,9.8,2277.8,34.4,3355.7,1575.7,120.3,191.7,128.7,1102.9,315.9,19.6,2114.9,490.9,4199.1
GSM532822,control,0,-0.22003819394878263,-0.004544219554702268,-0.5261600738751412,-0.13571729130037352,0.15648933197265794,-2.9,333.4,19.0,2004.5,66.5,1582.6,239.2,-13.4,20483.5,12564.9,974.3,1.3,19.7,15.3,-2.0,42.0,2415.9,-8.3,39.1,497.1,-1.0,41.5,427.1,231.9,-4.5,38.8,19862.9,4668.5,367.4,512.3,246.8,4.1,54.8,-6.9,2137.1,9717.6,1560.4,6.9,168.5,210.9,337.8,147.3,2784.6,118.9,-27.4,106.6,133.7,52.9,-6.3,61.1,1244.9,1044.2,36.2,710.8,34.7,4.7,531.3,3167.6,-18.1,456.6,25.0,120.0,-2.8,5.4,-2.3,-4.6,10.8,674.0,26.3,-0.6,1617.7,308.2,414.2,-3.2,525.1,26.2,129.3,321.0,-7.0,177.3,102.9,-14.6,81.5,-6.3,61.5,309.3,315.9,17.1,3267.4,6612.2,22.2,113.8,47.0,1234.5,20.4,-12.9,-4.6,2333.0,96.6,4384.5,902.7,21.5,132.5,106.7,1096.6,201.0,4.0,4213.3,493.9,4344.5
GSM532823,control,0,-0.4247632170466609,-0.0811583866899767,0.09235415955945132,-0.028202737444254014,-0.12132428938014117,-7.5,391.2,42.1,2242.3,41.1,2316.1,350.2,8.5,9953.8,17941.7,1318.8,10.6,-6.9,12.7,-15.8,36.9,1923.4,-9.7,21.8,4060.3,12.6,14.5,335.0,178.7,-10.6,12.7,11806.7,5102.4,396.7,656.8,216.8,-8.0,15.2,21.6,3547.8,14396.7,1129.4,10.9,219.4,274.6,299.6,360.7,3580.6,176.8,-19.3,110.5,211.0,73.2,-6.7,100.4,994.7,1737.7,46.2,847.4,20.0,-6.7,667.1,3035.8,-10.9,649.1,22.9,53.9,-6.5,-4.7,-9.0,-1.7,24.8,366.7,16.6,4.0,1434.7,279.4,385.5,-20.6,530.1,46.3,34.4,306.3,1.4,198.4,75.2,-6.6,92.0,5.8,52.9,345.4,334.7,6.4,2040.1,7454.7,18.3,50.6,77.7,1472.7,10.6,2.1,8.5,2471.0,53.1,3722.4,1629.6,140.5,208.5,143.3,1338.1,305.1,9.1,2151.9,481.3,3909.1
GSM532824,control,0,0.36696249298037686,0.3776290784285744,0.7573318111929979,0.887807450869281,-0.3130009931339974,-2.6,706.5,64.3,3898.3,89.7,2832.0,673.1,35.0,15454.3,29709.8,1691.6,-7.3,12.5,16.0,-16.1,79.0,2814.3,-10.6,53.3,6507.1,7.4,19.6,507.7,192.3,-8.5,42.1,599.6,153.9,30.9,1016.5,67.2,41.1,68.8,28.9,3722.4,15990.3,1292.2,10.5,204.9,251.7,311.0,154.0,3501.4,266.5,-9.6,28.5,391.0,200.5,1.3,404.9,1393.3,2282.5,54.1,195.0,14.8,-4.0,213.4,3524.7,-17.0,832.1,51.4,91.1,2.0,19.0,-7.5,5.2,48.8,80.8,27.1,21.4,1342.7,29.9,715.3,-11.9,234.1,-11.1,55.2,480.4,2.3,279.7,82.6,5.5,73.3,-13.7,69.9,413.7,453.3,8.8,1817.4,10226.9,-2.9,70.9,69.0,314.6,27.7,-13.0,27.1,1535.1,20.9,3768.7,1114.8,220.3,265.8,202.1,775.6,331.1,11.9,360.5,342.3,2117.8
GSM532825,control,0,-0.39233694602910923,-0.37227997021373443,-0.4893246389431254,-0.2797628465320619,0.2742790552010045,-0.7,302.0,27.3,2075.0,50.5,2321.1,334.2,14.8,17189.4,14897.4,1428.1,6.4,9.9,-7.0,-8.2,34.6,2562.5,-14.9,36.1,993.9,8.4,17.1,436.6,98.1,-11.6,-3.2,10881.4,5857.8,330.3,498.7,166.1,-4.4,40.2,10.6,4266.8,14172.8,829.2,4.8,314.5,353.2,310.7,265.0,1935.9,149.8,-28.7,118.5,211.0,67.5,-14.6,80.2,874.0,1093.7,32.0,282.5,3.1,10.4,678.7,3083.8,-7.0,497.1,32.2,38.1,-17.8,-6.9,3.6,-8.1,16.2,511.5,15.8,4.1,1719.4,440.9,363.2,-9.3,416.6,32.0,20.5,457.7,-2.0,229.4,40.4,-15.2,113.2,-4.3,51.0,293.4,358.4,-7.8,3015.0,7419.4,6.2,100.2,82.3,1209.9,7.4,-6.1,-0.3,2263.0,102.2,4679.1,922.8,51.2,177.2,103.2,1424.8,273.9,-1.9,3057.7,505.7,4640.9
GSM532826,control,0,-0.09402619838295,0.06355501617577784,-0.3974836003346712,-0.09557045171095767,0.15102438331330692,-3.1,351.3,35.6,2284.7,88.9,1991.9,395.6,-9.0,18299.3,14252.4,1200.2,-5.2,19.0,20.3,-0.6,23.1,2253.0,-6.5,37.5,1863.2,3.2,34.8,583.3,52.1,-1.8,39.6,16978.2,5271.5,302.8,586.0,205.8,-2.4,58.0,23.1,1940.9,10823.9,1375.6,5.7,301.1,266.4,314.3,330.5,2889.4,156.6,-22.2,117.6,128.4,68.9,-4.0,135.1,1054.2,1293.2,39.1,912.9,13.4,-1.2,647.1,2692.1,-15.0,427.6,37.8,55.2,-11.1,5.2,8.4,-13.3,8.8,533.3,3.8,7.5,1497.2,349.5,407.9,-0.6,472.8,37.3,60.3,314.0,1.5,210.7,41.2,-21.0,44.2,-3.5,43.8,324.1,334.5,5.2,2391.8,7238.4,14.9,90.1,98.1,1285.6,30.8,-12.0,-0.1,2321.1,90.1,4627.1,1242.5,52.1,218.8,97.6,1349.5,275.1,15.5,3957.1,475.8,4258.7
GSM532827,IFG,1,-0.18166186725002656,-0.026828090575345447,-0.10869491955781845,0.04265976943038348,0.09093361187997892,-2.4,509.2,25.0,2111.5,33.6,2342.7,356.0,3.7,16509.4,19744.7,1146.2,12.6,-13.2,1.6,-14.3,14.8,1745.8,-4.6,41.9,763.0,8.5,4.8,327.4,68.8,5.0,-5.1,10188.7,4234.4,1246.9,674.3,202.2,16.0,24.2,16.7,1937.3,9286.2,1711.8,3.8,219.9,322.3,208.9,304.0,2676.3,101.1,-9.3,214.2,92.4,44.4,3.5,88.7,1171.1,1427.9,19.2,1040.4,16.9,-7.2,608.2,3368.8,-3.1,592.7,24.4,2.8,-8.0,-7.7,-7.6,5.8,57.8,641.7,16.8,1.1,1266.6,505.3,306.4,1.7,419.2,127.5,13.2,408.9,12.0,182.2,2.5,6.8,97.0,-2.2,39.1,330.3,355.8,5.7,2609.1,8944.4,52.1,70.4,62.5,2464.9,21.1,3.9,9.1,3053.8,66.6,3611.7,1196.8,73.6,230.2,138.3,1742.1,441.9,1.4,3134.2,486.5,6186.9
GSM532828,IFG,1,0.12893322377883548,-0.026814883851360875,-0.3397368785779157,-0.07697514588218261,0.06586117588329705,3.2,561.6,32.0,2107.9,28.5,2096.1,271.4,10.4,19160.9,19744.7,1020.6,25.0,-10.3,11.5,1.7,15.1,1737.2,-3.2,32.3,233.2,10.4,5.9,209.0,66.9,8.0,-1.6,20374.3,4727.9,978.9,619.9,298.3,3.1,38.5,18.4,1932.7,8624.5,987.6,12.1,305.9,291.6,277.8,156.5,1958.0,67.0,-17.5,249.4,111.0,72.2,1.5,74.9,958.6,1502.8,22.4,2071.7,24.2,0.2,337.2,3109.2,-5.9,650.9,29.0,15.8,-8.4,-0.6,-8.7,21.0,30.6,744.7,8.6,-4.6,1333.4,188.9,320.3,-2.7,767.0,120.3,18.7,468.3,6.9,117.9,1.5,-4.2,101.4,-5.0,40.6,312.1,204.8,7.2,2407.2,9461.4,22.5,50.8,95.3,2238.2,45.0,3.0,10.9,2051.3,92.2,5450.9,1013.5,34.2,199.7,89.4,1432.6,403.9,6.2,3872.3,515.8,4814.0
